transposedRow1,transposedRow2,transposedRow3,transposedRow4,transposedRow5,transposedRow6,transposedRow7,transposedRow8,transposedRow9,transposedRow10,transposedRow11,transposedRow12,transposedRow13,transposedRow14,transposedRow15,transposedRow16,transposedRow17,transposedRow18,transposedRow19,transposedRow20,transposedRow21,transposedRow22,transposedRow23,transposedRow24,transposedRow25,transposedRow26,transposedRow27,transposedRow28,transposedRow29,transposedRow30,transposedRow31,transposedRow32,transposedRow33,transposedRow34,transposedRow35,transposedRow36
9616.557448,143.5774651,0.31797,6,8,10,0.987156373,0.988185635,0.988930319,0.989705979,0.990319909,0.990843529,0.99222316,0.995477956,0.996357816,0.996591272,0.997958534,0.998955495,0.999142342,0.999350875,1.000269046,1.000968374,1.002216256,1.003120113,1.003869717,1.004939374,1.005476517,1.007484528,1.008370856,1.008730451,1.008799844,1.008919259,1.009521857,1.009947176,1.009979447,1.010803893
6490.763305,65.25190484,0.27881,6,8,10,0.992946761,0.993686008,0.99379917,0.994671443,0.994956857,0.99711112,0.997364385,0.997479063,0.997816321,0.998473415,0.998678124,0.999364532,0.99971927,1.000127122,1.000303729,1.000390971,1.001788881,1.002741097,1.003038743,1.003188883,1.003534127,1.004093162,1.004517104,1.005463824,1.005834205,1.005964284,1.006199613,1.006447332,1.006644424,1.007091368
14594.11011,299.0569136,0.32071,6,8,10,0.98530101,0.985617702,0.986000536,0.986861566,0.986870493,0.986909403,0.987127991,0.987914979,0.989532417,0.989737982,0.994278841,0.994519759,0.994755498,0.995116438,0.997095132,0.997842647,0.999002001,1.001735802,1.002747216,1.003198748,1.003380495,1.00635937,1.006888662,1.006901453,1.007346159,1.008891638,1.008964575,1.009479508,1.010185877,1.013535657
11533.38761,149.9865763,0.28322,6,8,10,0.98969326,0.989728356,0.991373512,0.99261584,0.992861248,0.993545829,0.993915756,0.99398563,0.994038124,0.994900728,0.996068733,0.997524547,0.997914333,0.998348181,0.999176186,1.000510252,1.000597653,1.001180166,1.001251932,1.001428686,1.002662182,1.003245947,1.003726071,1.005274392,1.005543776,1.005946406,1.006003231,1.006098326,1.008474682,1.009478415
17541.10206,229.3521557,0.34858,6,8,10,0.989863866,0.990966241,0.991705146,0.991815626,0.993488604,0.993642666,0.995031638,0.995660622,0.995844578,0.996219656,0.997261078,0.997375854,0.997927043,0.998040493,0.999150264,1.000000355,1.000270659,1.000322466,1.000782746,1.001595036,1.00299435,1.003813151,1.004177221,1.004601707,1.006481274,1.007111111,1.007267281,1.007332374,1.009376644,1.009502803
5722.79065,49.33230726,0.31959,6,8,10,0.994732257,0.994967675,0.995986204,0.996189926,0.996357457,0.996525927,0.996855419,0.997915195,0.998331897,0.998364842,0.998579747,0.99901114,0.99942883,1.000215213,1.00068825,1.001508107,1.001675963,1.001796448,1.002336309,1.002581861,1.002628286,1.002860784,1.003110585,1.003419466,1.003564329,1.00387088,1.003967503,1.004647201,1.005117471,1.005264259
11837.25303,266.2950985,0.35987,6,8,10,0.981086854,0.98399927,0.984514672,0.98547304,0.98987615,0.990257426,0.990336284,0.992088109,0.996301963,0.996758482,0.997843807,0.998776027,1.001758549,1.005692598,1.006740323,1.007823202,1.009970887,1.01073566,1.011184328,1.012170138,1.014699168,1.015672153,1.015822307,1.016386181,1.018176165,1.018997161,1.019140252,1.019145754,1.019441686,1.019495236
4740.268408,85.19589798,0.28766,6,8,10,0.982728989,0.983180238,0.983782427,0.987177647,0.987580266,0.988705355,0.990155236,0.990600817,0.991749364,0.99192104,0.99227406,0.994139107,0.996771709,0.996896632,0.99976637,1.00095426,1.00199729,1.002251944,1.003373831,1.003783493,1.005380537,1.008955138,1.010559914,1.011070073,1.011532466,1.012271273,1.01252567,1.012607938,1.014281606,1.015754893
12245.19475,257.4586778,0.26279,6,8,10,0.979626084,0.980830735,0.982027522,0.983336011,0.985940158,0.987588219,0.988066864,0.988414362,0.995694025,0.996119896,0.997988332,0.998746548,1.000020585,1.001648142,1.003090528,1.003344383,1.004797864,1.005128242,1.007349095,1.007488757,1.010549899,1.011495233,1.012385782,1.012398302,1.012936751,1.013677497,1.014048524,1.014276946,1.015223844,1.020294199
8778.460245,162.9495598,0.26295,6,8,10,0.982559859,0.986519565,0.986593893,0.987410304,0.987606687,0.989579488,0.990765743,0.991610999,0.995952753,0.997273897,0.997562169,0.998852717,0.999969472,1.000126227,1.000777632,1.003158046,1.003796446,1.006780215,1.009049277,1.009086808,1.01045123,1.01073074,1.011466632,1.011558304,1.011565268,1.014047355,1.015154818,1.01601352,1.016170795,1.016569681
8471.248437,32.50115435,0.28269,6,8,10,0.99782689,0.997840478,0.998030875,0.998037341,0.998111668,0.998309555,0.998488462,0.99866963,0.999049028,0.999226893,0.999292083,0.99952476,0.999678085,0.999752201,1.000128897,1.000135444,1.00026486,1.000381384,1.000398065,1.000742282,1.000909152,1.001026208,1.001104373,1.001655897,1.001696662,1.001723193,1.001755733,1.001973186,1.002057959,1.002274877
10374.87355,136.1053082,0.26588,6,8,10,0.990188938,0.990203998,0.990579569,0.993117721,0.994156736,0.99434908,0.994846251,0.995518788,0.995795419,0.996452672,0.996658932,0.996975248,0.997668258,0.998907779,0.999052078,1.00049318,1.00087057,1.001111827,1.001212463,1.002109769,1.002618991,1.003127668,1.003826812,1.005854209,1.006251769,1.006415581,1.006981338,1.00756647,1.008178076,1.008268306
15489.02452,165.4212117,0.31686,6,8,10,0.991359395,0.991890151,0.992540219,0.993426679,0.993917383,0.994070956,0.995289999,0.995791722,0.996152007,0.99654381,0.997626086,0.998185567,0.998457087,0.999144609,0.999473735,0.999617467,1.00106841,1.001115088,1.001187219,1.00132874,1.002549119,1.002954005,1.003092745,1.004149333,1.00454927,1.005529441,1.006404964,1.006800126,1.007262263,1.00776182
9129.087375,90.7247296,0.27676,6,8,10,0.993150444,0.993300158,0.994350482,0.994374208,0.995018253,0.995153832,0.995299238,0.996381293,0.997508406,0.997807851,0.99800979,0.998303366,0.998752634,0.999467567,1.000218105,1.000556455,1.000627219,1.000915622,1.001086618,1.001312902,1.001726288,1.002646822,1.004332428,1.004343472,1.004721566,1.005228171,1.006194952,1.006552706,1.006964512,1.007194475
10752.94349,92.19336057,0.29535,6,8,10,0.99509089,0.995258865,0.995350914,0.995600617,0.995608926,0.996706989,0.997101718,0.997222303,0.997224657,0.997638539,0.998111305,0.998451981,0.99873491,0.998922458,0.999075383,0.999851315,1.001081238,1.001141127,1.001316628,1.002092558,1.002163873,1.002164307,1.003046609,1.003403178,1.003453989,1.003503709,1.003779974,1.004140761,1.004381826,1.004779314
5421.070292,50.96024498,0.25408,6,8,10,0.993883857,0.994230286,0.994599682,0.994724954,0.994980392,0.995118044,0.9952953,0.995671201,0.996572747,0.996681699,0.997066329,0.997632811,0.997836323,0.998166302,0.998475166,0.999690668,0.999985229,1.000502879,1.001095446,1.001407364,1.001446744,1.002609956,1.003301314,1.003611065,1.003749985,1.003812105,1.00420078,1.004365334,1.005047288,1.005294179
12570.88977,183.0154488,0.27016,6,8,10,0.988814608,0.989443549,0.989938661,0.990649421,0.99070883,0.991517096,0.994636011,0.995796254,0.997237732,0.998467386,0.999303022,0.999721853,1.000311323,1.001426093,1.003480783,1.003554572,1.005079214,1.005290932,1.005864437,1.006050105,1.006910488,1.007131159,1.007556279,1.008212832,1.008706993,1.010046116,1.011181358,1.011355931,1.012222193,1.012285086
6994.223643,35.15060189,0.2562,6,8,10,0.996756146,0.997094258,0.997132155,0.997427984,0.997531877,0.998121277,0.99814567,0.998223581,0.998710921,0.998894299,0.999075746,0.999193557,0.999217143,0.999263587,0.999476965,0.999506185,0.999612674,0.999632113,0.999718313,1.000019032,1.001207148,1.001225825,1.001574103,1.001777276,1.0020278,1.00251108,1.002676546,1.002753135,1.002793507,1.002798717
